Latitude (decimal degrees):	53.367
Longitude (decimal degrees):	7.206
Elevation (m):	7
Radiation database:	PVGIS-SARAH3


Slope: 23 deg. 
Azimuth: -10 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230103:0611,0.0,0.0,0.0,3.87,3.03,0.0
20230103:0711,0.0,0.0,0.0,3.2,3.1,0.0
20230103:0811,0.48,6.78,1.95,3.07,3.1,0.0
20230103:0911,246.95,293.65,7.64,3.51,2.9,0.0
20230103:1011,247.69,292.02,11.64,4.21,2.62,0.0
20230103:1111,57.99,82.32,13.62,5.2,2.9,0.0
20230103:1211,119.01,151.27,13.41,5.99,2.97,0.0
20230103:1311,23.06,40.65,11.04,6.81,4.28,0.0
20230103:1411,33.24,54.03,6.7,7.04,4.21,0.0
20230103:1511,0.0,0.0,0.0,7.02,4.28,0.0
20230103:1611,0.0,0.0,0.0,7.1,4.48,0.0
20230103:1711,0.0,0.0,0.0,7.17,4.83,0.0
20230103:1811,0.0,0.0,0.0,7.24,5.31,0.0
20230103:1911,0.0,0.0,0.0,7.38,5.52,0.0
20230103:2011,0.0,0.0,0.0,7.32,6.07,0.0
20230103:2111,0.0,0.0,0.0,7.2,6.55,0.0
20230103:2211,0.0,0.0,0.0,7.21,6.83,0.0
20230103:2311,0.0,0.0,0.0,7.34,7.1,0.0
20230104:0011,0.0,0.0,0.0,7.63,7.52,0.0
20230104:0111,0.0,0.0,0.0,7.95,7.86,0.0
20230104:0211,0.0,0.0,0.0,8.45,8.07,0.0
20230104:0311,0.0,0.0,0.0,8.54,8.34,0.0
20230104:0411,0.0,0.0,0.0,8.66,8.55,0.0
20230104:0511,0.0,0.0,0.0,9.04,8.28,0.0
20230104:0611,0.0,0.0,0.0,9.63,8.41,0.0
20230104:0711,0.0,0.0,0.0,10.32,8.34,0.0
20230104:0811,0.0,4.84,1.99,10.66,8.41,0.0
20230104:0911,199.75,246.03,7.7,10.85,8.41,0.0
20230104:1011,30.15,50.33,11.71,11.02,8.21,0.0
20230104:1111,22.58,40.65,13.71,11.11,7.86,0.0
20230104:1211,41.01,63.88,13.52,11.47,8.07,0.0
20230104:1311,52.63,77.93,11.16,11.78,9.03,0.0
20230104:1411,17.2,33.65,6.83,11.19,9.24,0.0
20230104:1511,0.0,0.0,0.0,10.91,8.83,0.0
20230104:1611,0.0,0.0,0.0,10.32,8.48,0.0
20230104:1711,0.0,0.0,0.0,9.95,8.28,0.0
20230104:1811,0.0,0.0,0.0,9.61,8.0,0.0
20230104:1911,0.0,0.0,0.0,9.9,8.48,0.0
20230104:2011,0.0,0.0,0.0,9.88,8.9,0.0
20230104:2111,0.0,0.0,0.0,9.75,8.55,0.0
20230104:2211,0.0,0.0,0.0,9.5,8.21,0.0
20230104:2311,0.0,0.0,0.0,9.3,8.0,0.0
20230105:0011,0.0,0.0,0.0,9.08,7.72,0.0
20230105:0111,0.0,0.0,0.0,9.07,7.66,0.0
20230105:0211,0.0,0.0,0.0,9.09,7.45,0.0
20230105:0311,0.0,0.0,0.0,8.97,7.17,0.0
20230105:0411,0.0,0.0,0.0,8.82,6.97,0.0
20230105:0511,0.0,0.0,0.0,8.62,6.41,0.0
20230105:0611,0.0,0.0,0.0,8.44,6.0,0.0
20230105:0711,0.0,0.0,0.0,8.44,5.24,0.0
20230105:0811,0.86,7.74,2.04,8.25,4.76,0.0
20230105:0911,216.31,263.45,7.77,8.13,4.28,0.0
20230105:1011,306.31,362.72,11.8,8.63,4.0,0.0
20230105:1111,335.41,394.61,13.82,9.03,4.76,0.0
20230105:1211,398.81,469.6,13.64,9.46,4.55,0.0
20230105:1311,56.38,81.79,11.29,9.33,3.86,0.0
20230105:1411,41.71,65.1,6.97,9.22,3.52,0.0
20230105:1511,0.0,0.0,0.0,8.66,2.76,0.0
20230105:1611,0.0,0.0,0.0,8.46,2.34,0.0
20230105:1711,0.0,0.0,0.0,8.24,2.21,0.0
20230105:1811,0.0,0.0,0.0,8.38,2.48,0.0
20230105:1911,0.0,0.0,0.0,8.53,3.17,0.0
20230105:2011,0.0,0.0,0.0,8.64,3.31,0.0
20230105:2111,0.0,0.0,0.0,8.78,3.72,0.0
20230105:2211,0.0,0.0,0.0,9.01,4.34,0.0
20230105:2311,0.0,0.0,0.0,9.44,4.62,0.0
20230106:0011,0.0,0.0,0.0,9.74,4.9,0.0
20230106:0111,0.0,0.0,0.0,9.77,4.97,0.0
20230106:0211,0.0,0.0,0.0,9.75,5.1,0.0
20230106:0311,0.0,0.0,0.0,9.75,5.31,0.0
20230106:0411,0.0,0.0,0.0,9.83,5.72,0.0
20230106:0511,0.0,0.0,0.0,9.92,6.14,0.0
20230106:0611,0.0,0.0,0.0,10.02,6.55,0.0
20230106:0711,0.0,0.0,0.0,10.05,7.31,0.0
20230106:0811,0.0,0.97,2.1,9.65,8.21,0.0
20230106:0911,251.12,303.44,7.84,9.33,6.07,0.0
20230106:1011,345.21,406.22,11.89,8.92,5.03,0.0
20230106:1111,379.13,444.39,13.92,9.22,5.1,0.0
20230106:1211,404.42,474.95,13.76,9.5,5.17,0.0
20230106:1311,170.76,211.95,11.42,9.6,5.31,0.0
20230106:1411,59.14,86.45,7.11,9.32,4.9,0.0
20230106:1511,0.0,0.0,0.0,8.95,4.48,0.0
20230106:1611,0.0,0.0,0.0,8.43,4.34,0.0
20230106:1711,0.0,0.0,0.0,7.99,4.21,0.0
20230106:1811,0.0,0.0,0.0,7.64,3.79,0.0
20230106:1911,0.0,0.0,0.0,7.02,3.79,0.0
20230106:2011,0.0,0.0,0.0,6.78,3.79,0.0
20230106:2111,0.0,0.0,0.0,6.48,3.45,0.0
20230106:2211,0.0,0.0,0.0,6.58,3.31,0.0
20230106:2311,0.0,0.0,0.0,7.12,3.38,0.0
20230107:0011,0.0,0.0,0.0,8.07,3.59,0.0
20230107:0111,0.0,0.0,0.0,8.76,3.79,0.0
20230107:0211,0.0,0.0,0.0,9.28,4.21,0.0
20230107:0311,0.0,0.0,0.0,9.66,4.62,0.0
20230107:0411,0.0,0.0,0.0,9.96,4.76,0.0
20230107:0511,0.0,0.0,0.0,10.08,4.83,0.0
20230107:0611,0.0,0.0,0.0,10.08,4.97,0.0
20230107:0711,0.0,0.0,0.0,9.17,5.03,0.0
20230107:0811,0.0,1.94,2.16,8.81,5.03,0.0
20230107:0911,87.64,117.91,7.92,8.89,5.17,0.0
20230107:1011,218.37,263.58,11.99,9.43,5.31,0.0
20230107:1111,133.28,169.23,14.04,10.1,5.17,0.0
20230107:1211,127.13,162.64,13.9,10.41,5.52,0.0
20230107:1311,66.93,94.49,11.57,10.61,5.66,0.0
20230107:1411,49.36,74.73,7.26,10.44,5.79,0.0
20230107:1511,0.0,0.0,0.0,10.06,5.86,0.0
20230107:1611,0.0,0.0,0.0,9.6,5.86,0.0
20230107:1711,0.0,0.0,0.0,9.36,5.93,0.0
20230107:1811,0.0,0.0,0.0,9.45,6.14,0.0
20230107:1911,0.0,0.0,0.0,9.27,6.21,0.0
20230107:2011,0.0,0.0,0.0,9.59,6.28,0.0
20230107:2111,0.0,0.0,0.0,9.75,6.41,0.0
20230107:2211,0.0,0.0,0.0,9.48,6.21,0.0
20230107:2311,0.0,0.0,0.0,9.46,6.21,0.0
20230108:0011,0.0,0.0,0.0,9.8,6.14,0.0
20230108:0111,0.0,0.0,0.0,10.01,5.93,0.0
20230108:0211,0.0,0.0,0.0,9.67,5.66,0.0
20230108:0311,0.0,0.0,0.0,9.36,5.31,0.0
20230108:0411,0.0,0.0,0.0,9.05,4.83,0.0
20230108:0511,0.0,0.0,0.0,8.74,4.62,0.0
20230108:0611,0.0,0.0,0.0,8.36,4.55,0.0
20230108:0711,0.0,0.0,0.0,8.22,4.41,0.0
20230108:0811,2.27,10.65,2.23,8.1,4.28,0.0
20230108:0911,255.36,307.77,8.01,8.23,4.48,0.0
20230108:1011,371.27,436.01,12.09,8.62,4.69,0.0
20230108:1111,390.08,457.26,14.16,9.06,4.69,0.0
20230108:1211,407.66,477.61,14.04,9.47,5.66,0.0
20230108:1311,186.85,229.68,11.72,9.43,5.59,0.0
20230108:1411,133.77,174.6,7.42,9.07,4.97,0.0
20230108:1511,0.0,0.0,0.0,8.68,4.48,0.0
20230108:1611,0.0,0.0,0.0,8.02,4.07,0.0
20230108:1711,0.0,0.0,0.0,7.59,4.0,0.0
20230108:1811,0.0,0.0,0.0,7.09,4.21,0.0
20230108:1911,0.0,0.0,0.0,6.91,4.48,0.0
20230108:2011,0.0,0.0,0.0,6.67,4.83,0.0
20230108:2111,0.0,0.0,0.0,6.53,4.83,0.0
20230108:2211,0.0,0.0,0.0,6.25,4.76,0.0
20230108:2311,0.0,0.0,0.0,6.09,4.76,0.0
20230109:0011,0.0,0.0,0.0,6.3,4.62,0.0
20230109:0111,0.0,0.0,0.0,6.64,4.48,0.0
20230109:0211,0.0,0.0,0.0,6.88,4.69,0.0
20230109:0311,0.0,0.0,0.0,6.97,4.48,0.0
20230109:0411,0.0,0.0,0.0,6.85,4.14,0.0
20230109:0511,0.0,0.0,0.0,6.43,4.07,0.0
20230109:0611,0.0,0.0,0.0,5.79,4.21,0.0
20230109:0711,0.0,0.0,0.0,5.09,3.93,0.0
20230109:0811,0.0,4.84,2.31,4.95,3.52,0.0
20230109:0911,55.97,80.07,8.1,5.14,3.24,0.0
20230109:1011,18.68,34.85,12.21,5.78,2.97,0.0
20230109:1111,97.01,126.88,14.3,6.28,3.03,0.0
20230109:1211,39.5,60.98,14.18,6.54,3.03,0.0
20230109:1311,107.16,139.04,11.87,6.84,2.55,0.0
20230109:1411,17.85,33.88,7.58,6.81,3.1,0.0
20230109:1511,0.0,0.94,1.64,6.75,2.9,0.0
20230109:1611,0.0,0.0,0.0,6.38,2.76,0.0
20230109:1711,0.0,0.0,0.0,5.94,3.1,0.0
20230109:1811,0.0,0.0,0.0,5.76,3.38,0.0
20230109:1911,0.0,0.0,0.0,5.86,3.24,0.0
20230109:2011,0.0,0.0,0.0,5.82,3.45,0.0
20230109:2111,0.0,0.0,0.0,5.38,3.45,0.0
20230109:2211,0.0,0.0,0.0,5.21,3.59,0.0
20230109:2311,0.0,0.0,0.0,5.16,3.59,0.0
20230110:0011,0.0,0.0,0.0,5.11,3.59,0.0
20230110:0111,0.0,0.0,0.0,4.95,3.66,0.0
20230110:0211,0.0,0.0,0.0,4.86,3.79,0.0
20230110:0311,0.0,0.0,0.0,4.82,4.07,0.0
20230110:0411,0.0,0.0,0.0,4.88,4.14,0.0
20230110:0511,0.0,0.0,0.0,4.9,4.21,0.0
20230110:0611,0.0,0.0,0.0,4.78,4.34,0.0
20230110:0711,0.0,0.0,0.0,4.83,4.0,0.0
20230110:0811,0.0,4.84,2.4,4.95,4.28,0.0
20230110:0911,114.84,146.79,8.21,5.37,4.48,0.0
20230110:1011,147.19,181.8,12.33,6.08,4.9,0.0
20230110:1111,149.74,184.76,14.43,6.54,5.45,0.0
20230110:1211,128.23,161.42,14.33,6.63,4.9,0.0
20230110:1311,68.58,94.93,12.04,6.58,4.48,0.0
20230110:1411,41.54,63.78,7.75,6.13,5.31,0.0
20230110:1511,0.0,0.94,1.81,5.8,5.52,0.0
20230110:1611,0.0,0.0,0.0,5.74,5.93,0.0
20230110:1711,0.0,0.0,0.0,6.0,6.62,0.0
20230110:1811,0.0,0.0,0.0,5.99,7.66,0.0
20230110:1911,0.0,0.0,0.0,6.06,8.21,0.0
20230110:2011,0.0,0.0,0.0,6.14,8.21,0.0
20230110:2111,0.0,0.0,0.0,6.43,7.93,0.0
20230110:2211,0.0,0.0,0.0,7.04,7.79,0.0
20230110:2311,0.0,0.0,0.0,7.92,7.72,0.0
20230111:0011,0.0,0.0,0.0,8.69,7.86,0.0
20230111:0111,0.0,0.0,0.0,9.33,7.86,0.0
20230111:0211,0.0,0.0,0.0,9.9,7.79,0.0
20230111:0311,0.0,0.0,0.0,10.19,7.72,0.0
20230111:0411,0.0,0.0,0.0,10.39,7.31,0.0
20230111:0511,0.0,0.0,0.0,10.24,6.21,0.0
20230111:0611,0.0,0.0,0.0,10.09,5.1,0.0
20230111:0711,0.0,0.0,0.0,9.74,4.41,0.0
20230111:0811,19.85,38.33,2.49,9.09,3.79,0.0
20230111:0911,238.65,289.69,8.32,8.71,3.72,0.0
20230111:1011,356.4,419.9,12.46,8.79,4.14,0.0
20230111:1111,402.52,471.43,14.58,9.13,4.76,0.0
20230111:1211,419.44,491.28,14.49,9.22,5.17,0.0
20230111:1311,74.35,102.52,12.21,9.24,5.59,0.0
20230111:1411,2.78,11.62,7.93,8.83,6.14,0.0
20230111:1511,0.0,0.97,1.98,8.23,5.45,0.0
20230111:1611,0.0,0.0,0.0,7.6,5.03,0.0
20230111:1711,0.0,0.0,0.0,7.09,5.17,0.0
20230111:1811,0.0,0.0,0.0,6.82,5.72,0.0
20230111:1911,0.0,0.0,0.0,7.55,6.48,0.0
20230111:2011,0.0,0.0,0.0,7.64,7.1,0.0
20230111:2111,0.0,0.0,0.0,7.53,7.38,0.0
20230111:2211,0.0,0.0,0.0,7.17,7.59,0.0
20230111:2311,0.0,0.0,0.0,7.25,7.17,0.0
20230112:0011,0.0,0.0,0.0,7.25,6.76,0.0
20230112:0111,0.0,0.0,0.0,7.05,6.14,0.0
20230112:0211,0.0,0.0,0.0,7.08,5.72,0.0
20230112:0311,0.0,0.0,0.0,7.31,5.72,0.0
20230112:0411,0.0,0.0,0.0,7.62,6.41,0.0
20230112:0511,0.0,0.0,0.0,8.05,6.97,0.0
20230112:0611,0.0,0.0,0.0,8.15,7.93,0.0
20230112:0711,0.0,0.0,0.0,8.23,8.97,0.0
20230112:0811,0.0,1.94,2.59,9.05,8.9,0.0
20230112:0911,11.31,25.17,8.43,9.79,8.34,0.0
20230112:1011,45.38,68.85,12.59,10.41,8.14,0.0
20230112:1111,85.55,115.64,14.73,10.66,8.28,0.0
20230112:1211,28.66,48.4,14.66,10.69,7.1,0.0
20230112:1311,101.71,134.57,12.38,10.92,6.07,0.0
20230112:1411,48.9,73.93,8.11,10.75,6.41,0.0
20230112:1511,0.0,0.97,2.17,10.55,5.66,0.0
20230112:1611,0.0,0.0,0.0,9.97,5.1,0.0
20230112:1711,0.0,0.0,0.0,9.71,5.52,0.0
20230112:1811,0.0,0.0,0.0,9.8,6.55,0.0
20230112:1911,0.0,0.0,0.0,9.9,7.17,0.0
20230112:2011,0.0,0.0,0.0,10.01,7.17,0.0
20230112:2111,0.0,0.0,0.0,9.93,7.24,0.0
20230112:2211,0.0,0.0,0.0,9.85,7.66,0.0
20230112:2311,0.0,0.0,0.0,9.65,7.45,0.0
20230113:0011,0.0,0.0,0.0,8.95,7.24,0.0
20230113:0111,0.0,0.0,0.0,8.29,6.97,0.0
20230113:0211,0.0,0.0,0.0,7.71,6.9,0.0
20230113:0311,0.0,0.0,0.0,7.37,7.03,0.0
20230113:0411,0.0,0.0,0.0,7.12,7.24,0.0
20230113:0511,0.0,0.0,0.0,6.97,7.38,0.0
20230113:0611,0.0,0.0,0.0,6.83,7.59,0.0
20230113:0711,0.0,0.0,0.0,7.32,8.14,0.0
20230113:0811,0.87,7.74,2.69,7.3,8.28,0.0
20230113:0911,34.62,55.13,8.56,7.37,8.41,0.0
20230113:1011,14.93,30.01,12.73,7.65,8.55,0.0
20230113:1111,240.28,283.98,14.89,7.86,8.76,0.0
20230113:1211,103.07,133.94,14.83,7.86,8.69,0.0
20230113:1311,5.04,15.49,12.57,7.81,8.76,0.0
20230113:1411,25.41,43.86,8.29,7.89,8.69,0.0
20230113:1511,0.0,1.94,2.35,7.69,8.48,0.0
20230113:1611,0.0,0.0,0.0,7.51,8.0,0.0
20230113:1711,0.0,0.0,0.0,7.15,7.59,0.0
20230113:1811,0.0,0.0,0.0,7.14,7.38,0.0
20230113:1911,0.0,0.0,0.0,7.1,7.38,0.0
20230113:2011,0.0,0.0,0.0,7.11,6.69,0.0
20230113:2111,0.0,0.0,0.0,6.92,6.21,0.0
20230113:2211,0.0,0.0,0.0,6.61,5.79,0.0
20230113:2311,0.0,0.0,0.0,6.5,5.45,0.0
20230114:0011,0.0,0.0,0.0,6.37,5.17,0.0
20230114:0111,0.0,0.0,0.0,6.19,5.45,0.0
20230114:0211,0.0,0.0,0.0,6.28,5.59,0.0
20230114:0311,0.0,0.0,0.0,6.27,5.1,0.0
20230114:0411,0.0,0.0,0.0,5.8,4.9,0.0
20230114:0511,0.0,0.0,0.0,5.21,4.76,0.0
20230114:0611,0.0,0.0,0.0,4.82,4.83,0.0
20230114:0711,0.0,0.0,0.0,4.64,4.83,0.0
20230114:0811,0.0,4.84,2.81,4.76,5.24,0.0
20230114:0911,10.22,23.23,8.69,5.5,5.79,0.0
20230114:1011,17.2,32.91,12.88,6.2,6.28,0.0
20230114:1111,30.02,49.36,15.06,6.71,6.9,0.0
20230114:1211,22.29,39.69,15.01,7.14,7.31,0.0
20230114:1311,13.51,28.07,12.75,7.67,7.59,0.0
20230114:1411,23.76,41.85,8.49,8.42,8.14,0.0
20230114:1511,0.0,1.94,2.55,9.0,8.48,0.0
20230114:1611,0.0,0.0,0.0,9.56,8.07,0.0
20230114:1711,0.0,0.0,0.0,9.95,7.72,0.0
20230114:1811,0.0,0.0,0.0,10.26,7.72,0.0
20230114:1911,0.0,0.0,0.0,10.21,6.76,0.0
20230114:2011,0.0,0.0,0.0,9.48,6.14,0.0
20230114:2111,0.0,0.0,0.0,8.31,5.79,0.0
20230114:2211,0.0,0.0,0.0,7.63,5.93,0.0
20230114:2311,0.0,0.0,0.0,7.23,6.14,0.0
20230115:0011,0.0,0.0,0.0,6.88,6.21,0.0
20230115:0111,0.0,0.0,0.0,6.54,6.21,0.0
20230115:0211,0.0,0.0,0.0,6.31,6.28,0.0
20230115:0311,0.0,0.0,0.0,6.28,6.62,0.0
20230115:0411,0.0,0.0,0.0,6.17,6.97,0.0
20230115:0511,0.0,0.0,0.0,5.93,7.03,0.0
20230115:0611,0.0,0.0,0.0,5.76,7.17,0.0
20230115:0711,0.0,0.0,0.0,5.71,7.59,0.0
20230115:0811,65.15,95.09,2.93,5.49,8.21,0.0
20230115:0911,250.49,295.55,8.82,5.39,8.83,0.0
20230115:1011,180.06,216.25,13.04,5.65,9.59,0.0
20230115:1111,347.94,398.48,15.23,5.82,9.17,0.0
20230115:1211,61.83,86.84,15.2,6.1,9.24,0.0
20230115:1311,18.73,34.85,12.95,5.65,9.66,0.0
20230115:1411,42.91,65.05,8.69,5.83,9.31,0.0
20230115:1511,0.0,3.87,2.75,5.48,8.48,0.0
20230115:1611,0.0,0.0,0.0,5.06,7.72,0.0
20230115:1711,0.0,0.0,0.0,5.06,6.9,0.0
20230115:1811,0.0,0.0,0.0,5.17,6.41,0.0
20230115:1911,0.0,0.0,0.0,4.97,5.52,0.0
20230115:2011,0.0,0.0,0.0,4.76,5.59,0.0
20230115:2111,0.0,0.0,0.0,4.65,5.59,0.0
20230115:2211,0.0,0.0,0.0,4.74,5.24,0.0
20230115:2311,0.0,0.0,0.0,4.62,4.76,0.0
20230116:0011,0.0,0.0,0.0,4.5,4.41,0.0
20230116:0111,0.0,0.0,0.0,4.49,4.21,0.0
20230116:0211,0.0,0.0,0.0,4.29,3.93,0.0
20230116:0311,0.0,0.0,0.0,4.14,3.79,0.0
20230116:0411,0.0,0.0,0.0,3.96,3.66,0.0
20230116:0511,0.0,0.0,0.0,3.73,3.45,0.0
20230116:0611,0.0,0.0,0.0,3.64,3.66,0.0
20230116:0711,0.0,0.0,0.0,3.29,3.38,0.0
20230116:0811,41.96,65.81,3.05,3.09,3.93,0.0
20230116:0911,59.57,83.58,8.97,3.5,3.93,0.0
20230116:1011,106.2,135.73,13.2,4.06,3.72,0.0
20230116:1111,27.99,46.46,15.41,4.4,4.14,0.0
20230116:1211,32.79,52.27,15.39,4.08,5.52,0.0
20230116:1311,28.89,47.43,13.15,3.72,5.66,0.0
20230116:1411,13.08,27.1,8.89,3.81,5.59,0.0
20230116:1511,0.9,7.74,2.95,3.98,4.76,0.0
20230116:1611,0.0,0.0,0.0,3.91,4.07,0.0
20230116:1711,0.0,0.0,0.0,3.72,3.59,0.0
20230116:1811,0.0,0.0,0.0,3.4,3.38,0.0
20230116:1911,0.0,0.0,0.0,3.15,3.1,0.0
20230116:2011,0.0,0.0,0.0,3.16,2.62,0.0
20230116:2111,0.0,0.0,0.0,3.15,2.14,0.0
20230116:2211,0.0,0.0,0.0,3.3,1.72,0.0
20230116:2311,0.0,0.0,0.0,3.42,2.0,0.0
20230117:0011,0.0,0.0,0.0,3.37,3.1,0.0
20230117:0111,0.0,0.0,0.0,3.18,4.14,0.0
20230117:0211,0.0,0.0,0.0,2.88,5.45,0.0
20230117:0311,0.0,0.0,0.0,2.78,7.38,0.0
20230117:0411,0.0,0.0,0.0,3.02,6.9,0.0
20230117:0511,0.0,0.0,0.0,2.94,5.93,0.0
20230117:0611,0.0,0.0,0.0,2.8,5.45,0.0
20230117:0711,0.0,0.0,0.0,2.43,4.34,0.0
20230117:0811,2.92,11.62,3.19,1.8,4.21,0.0
20230117:0911,14.65,29.04,9.12,1.91,4.14,0.0
20230117:1011,398.38,455.24,13.37,2.44,3.86,0.0
20230117:1111,170.97,205.56,15.6,3.2,4.14,0.0
20230117:1211,471.76,539.8,15.59,3.78,4.48,0.0
20230117:1311,269.02,314.59,13.36,3.99,4.62,0.0
20230117:1411,21.14,37.75,9.1,3.84,4.48,0.0
20230117:1511,0.0,4.84,3.16,3.32,4.48,0.0
20230117:1611,0.0,0.0,0.0,2.62,4.21,0.0
20230117:1711,0.0,0.0,0.0,1.9,4.14,0.0
20230117:1811,0.0,0.0,0.0,1.3,4.28,0.0
20230117:1911,0.0,0.0,0.0,0.83,4.0,0.0
20230117:2011,0.0,0.0,0.0,0.51,4.21,0.0
20230117:2111,0.0,0.0,0.0,0.32,4.34,0.0
20230117:2211,0.0,0.0,0.0,0.23,4.07,0.0
20230117:2311,0.0,0.0,0.0,-0.04,3.59,0.0
20230118:0011,0.0,0.0,0.0,-0.36,3.17,0.0
20230118:0111,0.0,0.0,0.0,-0.66,2.83,0.0
20230118:0211,0.0,0.0,0.0,-0.92,2.76,0.0
20230118:0311,0.0,0.0,0.0,-1.23,3.03,0.0
20230118:0411,0.0,0.0,0.0,-1.43,3.17,0.0
20230118:0511,0.0,0.0,0.0,-1.51,3.1,0.0
20230118:0611,0.0,0.0,0.0,-1.44,3.1,0.0
20230118:0711,0.0,0.0,0.0,-1.35,3.59,0.0
20230118:0811,96.1,128.49,3.33,-1.32,3.72,0.0
20230118:0911,217.02,253.96,9.28,-0.61,3.66,0.0
20230118:1011,437.41,495.41,13.55,0.57,3.79,0.0
20230118:1111,486.49,551.5,15.79,1.75,4.21,0.0
20230118:1211,483.61,550.01,15.8,2.69,4.69,0.0
20230118:1311,283.54,329.22,13.57,3.17,4.83,0.0
20230118:1411,239.84,287.94,9.31,3.22,5.66,0.0
20230118:1511,0.49,6.78,3.37,2.77,5.66,0.0
20230118:1611,0.0,0.0,0.0,2.08,5.93,0.0
20230118:1711,0.0,0.0,0.0,1.73,6.48,0.0
20230118:1811,0.0,0.0,0.0,1.75,7.03,0.0
20230118:1911,0.0,0.0,0.0,1.39,7.31,0.0
20230118:2011,0.0,0.0,0.0,1.59,6.9,0.0
20230118:2111,0.0,0.0,0.0,1.8,6.83,0.0
20230118:2211,0.0,0.0,0.0,2.0,6.69,0.0
20230118:2311,0.0,0.0,0.0,2.04,6.21,0.0
20230119:0011,0.0,0.0,0.0,2.15,5.93,0.0
20230119:0111,0.0,0.0,0.0,2.01,5.52,0.0
20230119:0211,0.0,0.0,0.0,1.81,5.17,0.0
20230119:0311,0.0,0.0,0.0,1.83,4.76,0.0
20230119:0411,0.0,0.0,0.0,1.82,4.28,0.0
20230119:0511,0.0,0.0,0.0,1.93,3.93,0.0
20230119:0611,0.0,0.0,0.0,2.39,3.93,0.0
20230119:0711,0.0,0.0,0.0,1.88,3.24,0.0
20230119:0811,1.38,8.71,3.47,2.32,3.72,0.0
